ID, SourceCurrency, DestinationCurrency, SourceAmount
10273, USD, EUR,10791736
10274, EUR, AUD,10792786.5
10275, USD, EUR,10793837
10276, EUR, AUD,10794887.5
10277, USD, EUR,10795938
10278, EUR, AUD,10796988.5
10279, USD, EUR,10798039
10280, EUR, AUD,10799089.5
10281, USD, EUR,10800140
10282, EUR, AUD,10801190.5
10283, USD, EUR,10802241
10284, EUR, AUD,10803291.5
10285, USD, EUR,10804342
10286, EUR, AUD,10805392.5
10287, USD, EUR,10806443
10288, EUR, AUD,10807493.5
10289, USD, EUR,10808544
10290, EUR, AUD,10809594.5
10291, USD, EUR,10810645
10292, EUR, AUD,10811695.5
10293, USD, EUR,10812746
10294, EUR, AUD,10813796.5
10295, USD, EUR,10814847
10296, EUR, AUD,10815897.5
10297, USD, EUR,10816948
10298, EUR, AUD,10817998.5
10299, USD, EUR,10819049
10300, EUR, AUD,10820099.5
10301, USD, EUR,10821150
10302, EUR, AUD,10822200.5
10303, USD, EUR,10823251
10304, EUR, AUD,10824301.5
10305, USD, EUR,10825352
10306, EUR, AUD,10826402.5
10307, USD, EUR,10827453
10308, EUR, AUD,10828503.5
10309, USD, EUR,10829554
10310, EUR, AUD,10830604.5
10311, USD, EUR,10831655
10312, EUR, AUD,10832705.5
10313, USD, EUR,10833756
10314, EUR, AUD,10834806.5
10315, USD, EUR,10835857
10316, EUR, AUD,10836907.5
10317, USD, EUR,10837958
10318, EUR, AUD,10839008.5
10319, USD, EUR,10840059
10320, EUR, AUD,10841109.5
10321, USD, EUR,10842160
10322, EUR, AUD,10843210.5
10323, USD, EUR,10844261
10324, EUR, AUD,10845311.5
10325, USD, EUR,10846362
10326, EUR, AUD,10847412.5
10327, USD, EUR,10848463
10328, EUR, AUD,10849513.5
10329, USD, EUR,10850564
10330, EUR, AUD,10851614.5
10331, USD, EUR,10852665
10332, EUR, AUD,10853715.5
10333, USD, EUR,10854766
10334, EUR, AUD,10855816.5
10335, USD, EUR,10856867
10336, EUR, AUD,10857917.5
10337, USD, EUR,10858968
10338, EUR, AUD,10860018.5
10339, USD, EUR,10861069
10340, EUR, AUD,10862119.5
10341, USD, EUR,10863170
10342, EUR, AUD,10864220.5
10343, USD, EUR,10865271
10344, EUR, AUD,10866321.5
10345, USD, EUR,10867372
10346, EUR, AUD,10868422.5
10347, USD, EUR,10869473
10348, EUR, AUD,10870523.5
10349, USD, EUR,10871574
10350, EUR, AUD,10872624.5
10351, USD, EUR,10873675
10352, EUR, AUD,10874725.5
10353, USD, EUR,10875776
10354, EUR, AUD,10876826.5
10355, USD, EUR,10877877
10356, EUR, AUD,10878927.5
10357, USD, EUR,10879978
10358, EUR, AUD,10881028.5
10359, USD, EUR,10882079
10360, EUR, AUD,10883129.5
10361, USD, EUR,10884180
10362, EUR, AUD,10885230.5
10363, USD, EUR,10886281
10364, EUR, AUD,10887331.5
10365, USD, EUR,10888382
10366, EUR, AUD,10889432.5
10367, USD, EUR,10890483
10368, EUR, AUD,10891533.5
10369, USD, EUR,10892584
10370, EUR, AUD,10893634.5
10371, USD, EUR,10894685
10372, EUR, AUD,10895735.5
10373, USD, EUR,10896786
10374, EUR, AUD,10897836.5
10375, USD, EUR,10898887
10376, EUR, AUD,10899937.5
10377, USD, EUR,10900988
10378, EUR, AUD,10902038.5
10379, USD, EUR,10903089
10380, EUR, AUD,10904139.5
10381, USD, EUR,10905190
10382, EUR, AUD,10906240.5
10383, USD, EUR,10907291
10384, EUR, AUD,10908341.5
10385, USD, EUR,10909392
10386, EUR, AUD,10910442.5
10387, USD, EUR,10911493
10388, EUR, AUD,10912543.5
10389, USD, EUR,10913594
10390, EUR, AUD,10914644.5
10391, USD, EUR,10915695
10392, EUR, AUD,10916745.5
10393, USD, EUR,10917796
10394, EUR, AUD,10918846.5
10395, USD, EUR,10919897
10396, EUR, AUD,10920947.5
10397, USD, EUR,10921998
10398, EUR, AUD,10923048.5
10399, USD, EUR,10924099
10400, EUR, AUD,10925149.5
10401, USD, EUR,10926200
10402, EUR, AUD,10927250.5
10403, USD, EUR,10928301
10404, EUR, AUD,10929351.5
10405, USD, EUR,10930402
10406, EUR, AUD,10931452.5
10407, USD, EUR,10932503
10408, EUR, AUD,10933553.5
10409, USD, EUR,10934604
10410, EUR, AUD,10935654.5
10411, USD, EUR,10936705
10412, EUR, AUD,10937755.5
10413, USD, EUR,10938806
10414, EUR, AUD,10939856.5
10415, USD, EUR,10940907
10416, EUR, AUD,10941957.5
10417, USD, EUR,10943008
10418, EUR, AUD,10944058.5
10419, USD, EUR,10945109
10420, EUR, AUD,10946159.5
10421, USD, EUR,10947210
10422, EUR, AUD,10948260.5
10423, USD, EUR,10949311
10424, EUR, AUD,10950361.5
10425, USD, EUR,10951412
10426, EUR, AUD,10952462.5
10427, USD, EUR,10953513
10428, EUR, AUD,10954563.5
10429, USD, EUR,10955614
10430, EUR, AUD,10956664.5
10431, USD, EUR,10957715
10432, EUR, AUD,10958765.5
10433, USD, EUR,10959816
10434, EUR, AUD,10960866.5
10435, USD, EUR,10961917
10436, EUR, AUD,10962967.5
10437, USD, EUR,10964018
10438, EUR, AUD,10965068.5
10439, USD, EUR,10966119
10440, EUR, AUD,10967169.5
10441, USD, EUR,10968220
10442, EUR, AUD,10969270.5
10443, USD, EUR,10970321
10444, EUR, AUD,10971371.5
10445, USD, EUR,10972422
10446, EUR, AUD,10973472.5
10447, USD, EUR,10974523
10448, EUR, AUD,10975573.5
10449, USD, EUR,10976624
10450, EUR, AUD,10977674.5
10451, USD, EUR,10978725
10452, EUR, AUD,10979775.5
10453, USD, EUR,10980826
10454, EUR, AUD,10981876.5
10455, USD, EUR,10982927
10456, EUR, AUD,10983977.5
10457, USD, EUR,10985028
10458, EUR, AUD,10986078.5
10459, USD, EUR,10987129
10460, EUR, AUD,10988179.5
10461, USD, EUR,10989230
10462, EUR, AUD,10990280.5
10463, USD, EUR,10991331
10464, EUR, AUD,10992381.5
10465, USD, EUR,10993432
10466, EUR, AUD,10994482.5
10467, USD, EUR,10995533
10468, EUR, AUD,10996583.5
10469, USD, EUR,10997634
10470, EUR, AUD,10998684.5
10471, USD, EUR,10999735
10472, EUR, AUD,11000785.5
10473, USD, EUR,11001836
10474, EUR, AUD,11002886.5
10475, USD, EUR,11003937
10476, EUR, AUD,11004987.5
10477, USD, EUR,11006038
10478, EUR, AUD,11007088.5
10479, USD, EUR,11008139
10480, EUR, AUD,11009189.5
10481, USD, EUR,11010240
10482, EUR, AUD,11011290.5
10483, USD, EUR,11012341
10484, EUR, AUD,11013391.5
10485, USD, EUR,11014442
10486, EUR, AUD,11015492.5
10487, USD, EUR,11016543
10488, EUR, AUD,11017593.5
10489, USD, EUR,11018644
10490, EUR, AUD,11019694.5
10491, USD, EUR,11020745
10492, EUR, AUD,11021795.5
10493, USD, EUR,11022846
10494, EUR, AUD,11023896.5
10495, USD, EUR,11024947
10496, EUR, AUD,11025997.5
10497, USD, EUR,11027048
10498, EUR, AUD,11028098.5
10499, USD, EUR,11029149
10500, EUR, AUD,11030199.5
10501, USD, EUR,11031250
10502, EUR, AUD,11032300.5
10503, USD, EUR,11033351
10504, EUR, AUD,11034401.5
10505, USD, EUR,11035452
10506, EUR, AUD,11036502.5
10507, USD, EUR,11037553
10508, EUR, AUD,11038603.5
10509, USD, EUR,11039654
10510, EUR, AUD,11040704.5
10511, USD, EUR,11041755
10512, EUR, AUD,11042805.5
10513, USD, EUR,11043856
10514, EUR, AUD,11044906.5
10515, USD, EUR,11045957
10516, EUR, AUD,11047007.5
10517, USD, EUR,11048058
10518, EUR, AUD,11049108.5
10519, USD, EUR,11050159
10520, EUR, AUD,11051209.5
10521, USD, EUR,11052260
10522, EUR, AUD,11053310.5
10523, USD, EUR,11054361
10524, EUR, AUD,11055411.5
10525, USD, EUR,11056462
10526, EUR, AUD,11057512.5
10527, USD, EUR,11058563
10528, EUR, AUD,11059613.5
10529, USD, EUR,11060664
10530, EUR, AUD,11061714.5
10531, USD, EUR,11062765
10532, EUR, AUD,11063815.5
10533, USD, EUR,11064866
10534, EUR, AUD,11065916.5
10535, USD, EUR,11066967
10536, EUR, AUD,11068017.5
10537, USD, EUR,11069068
10538, EUR, AUD,11070118.5
10539, USD, EUR,11071169
10540, EUR, AUD,11072219.5
10541, USD, EUR,11073270
10542, EUR, AUD,11074320.5
10543, USD, EUR,11075371
10544, EUR, AUD,11076421.5
10545, USD, EUR,11077472
10546, EUR, AUD,11078522.5
10547, USD, EUR,11079573
10548, EUR, AUD,11080623.5
10549, USD, EUR,11081674
10550, EUR, AUD,11082724.5
10551, USD, EUR,11083775
10552, EUR, AUD,11084825.5
10553, USD, EUR,11085876
10554, EUR, AUD,11086926.5
10555, USD, EUR,11087977
10556, EUR, AUD,11089027.5
10557, USD, EUR,11090078
10558, EUR, AUD,11091128.5
10559, USD, EUR,11092179
10560, EUR, AUD,11093229.5
10561, USD, EUR,11094280
10562, EUR, AUD,11095330.5
10563, USD, EUR,11096381
10564, EUR, AUD,11097431.5
10565, USD, EUR,11098482
10566, EUR, AUD,11099532.5
10567, USD, EUR,11100583
10568, EUR, AUD,11101633.5
10569, USD, EUR,11102684
10570, EUR, AUD,11103734.5
10571, USD, EUR,11104785
10572, EUR, AUD,11105835.5
10573, USD, EUR,11106886
10574, EUR, AUD,11107936.5
10575, USD, EUR,11108987
10576, EUR, AUD,11110037.5
10577, USD, EUR,11111088
10578, EUR, AUD,11112138.5
10579, USD, EUR,11113189
10580, EUR, AUD,11114239.5
10581, USD, EUR,11115290
10582, EUR, AUD,11116340.5
10583, USD, EUR,11117391
10584, EUR, AUD,11118441.5
10585, USD, EUR,11119492
10586, EUR, AUD,11120542.5
10587, USD, EUR,11121593
10588, EUR, AUD,11122643.5
10589, USD, EUR,11123694
10590, EUR, AUD,11124744.5
10591, USD, EUR,11125795
10592, EUR, AUD,11126845.5
10593, USD, EUR,11127896
10594, EUR, AUD,11128946.5
10595, USD, EUR,11129997
10596, EUR, AUD,11131047.5
10597, USD, EUR,11132098
10598, EUR, AUD,11133148.5
10599, USD, EUR,11134199
10600, EUR, AUD,11135249.5
10601, USD, EUR,11136300
10602, EUR, AUD,11137350.5
10603, USD, EUR,11138401
10604, EUR, AUD,11139451.5
10605, USD, EUR,11140502
10606, EUR, AUD,11141552.5
10607, USD, EUR,11142603
10608, EUR, AUD,11143653.5
10609, USD, EUR,11144704
10610, EUR, AUD,11145754.5
10611, USD, EUR,11146805
10612, EUR, AUD,11147855.5
10613, USD, EUR,11148906
10614, EUR, AUD,11149956.5
10615, USD, EUR,11151007
10616, EUR, AUD,11152057.5
10617, USD, EUR,11153108
10618, EUR, AUD,11154158.5
10619, USD, EUR,11155209
10620, EUR, AUD,11156259.5
10621, USD, EUR,11157310
10622, EUR, AUD,11158360.5
10623, USD, EUR,11159411
10624, EUR, AUD,11160461.5
10625, USD, EUR,11161512
10626, EUR, AUD,11162562.5
10627, USD, EUR,11163613
10628, EUR, AUD,11164663.5
10629, USD, EUR,11165714
10630, EUR, AUD,11166764.5
10631, USD, EUR,11167815
10632, EUR, AUD,11168865.5
10633, USD, EUR,11169916
10634, EUR, AUD,11170966.5
10635, USD, EUR,11172017
10636, EUR, AUD,11173067.5
10637, USD, EUR,11174118
10638, EUR, AUD,11175168.5
10639, USD, EUR,11176219
10640, EUR, AUD,11177269.5
10641, USD, EUR,11178320
10642, EUR, AUD,11179370.5
10643, USD, EUR,11180421
10644, EUR, AUD,11181471.5
10645, USD, EUR,11182522
10646, EUR, AUD,11183572.5
10647, USD, EUR,11184623
10648, EUR, AUD,11185673.5
10649, USD, EUR,11186724
10650, EUR, AUD,11187774.5
10651, USD, EUR,11188825
10652, EUR, AUD,11189875.5
10653, USD, EUR,11190926
10654, EUR, AUD,11191976.5
10655, USD, EUR,11193027
10656, EUR, AUD,11194077.5
10657, USD, EUR,11195128
10658, EUR, AUD,11196178.5
10659, USD, EUR,11197229
10660, EUR, AUD,11198279.5
10661, USD, EUR,11199330
10662, EUR, AUD,11200380.5
10663, USD, EUR,11201431
10664, EUR, AUD,11202481.5
10665, USD, EUR,11203532
10666, EUR, AUD,11204582.5
10667, USD, EUR,11205633
10668, EUR, AUD,11206683.5
10669, USD, EUR,11207734
10670, EUR, AUD,11208784.5
10671, USD, EUR,11209835
10672, EUR, AUD,11210885.5
10673, USD, EUR,11211936
10674, EUR, AUD,11212986.5
10675, USD, EUR,11214037
10676, EUR, AUD,11215087.5
10677, USD, EUR,11216138
10678, EUR, AUD,11217188.5
10679, USD, EUR,11218239
10680, EUR, AUD,11219289.5
10681, USD, EUR,11220340
10682, EUR, AUD,11221390.5
10683, USD, EUR,11222441
10684, EUR, AUD,11223491.5
10685, USD, EUR,11224542
10686, EUR, AUD,11225592.5
10687, USD, EUR,11226643
10688, EUR, AUD,11227693.5
10689, USD, EUR,11228744
10690, EUR, AUD,11229794.5
10691, USD, EUR,11230845
10692, EUR, AUD,11231895.5
10693, USD, EUR,11232946
10694, EUR, AUD,11233996.5
10695, USD, EUR,11235047
10696, EUR, AUD,11236097.5
10697, USD, EUR,11237148
10698, EUR, AUD,11238198.5
10699, USD, EUR,11239249
10700, EUR, AUD,11240299.5
10701, USD, EUR,11241350
10702, EUR, AUD,11242400.5
10703, USD, EUR,11243451
10704, EUR, AUD,11244501.5
10705, USD, EUR,11245552
10706, EUR, AUD,11246602.5
10707, USD, EUR,11247653
10708, EUR, AUD,11248703.5
10709, USD, EUR,11249754
10710, EUR, AUD,11250804.5
10711, USD, EUR,11251855
10712, EUR, AUD,11252905.5
10713, USD, EUR,11253956
10714, EUR, AUD,11255006.5
10715, USD, EUR,11256057
10716, EUR, AUD,11257107.5
10717, USD, EUR,11258158
10718, EUR, AUD,11259208.5
10719, USD, EUR,11260259
10720, EUR, AUD,11261309.5
10721, USD, EUR,11262360
10722, EUR, AUD,11263410.5
10723, USD, EUR,11264461
10724, EUR, AUD,11265511.5
10725, USD, EUR,11266562
10726, EUR, AUD,11267612.5
10727, USD, EUR,11268663
10728, EUR, AUD,11269713.5
10729, USD, EUR,11270764
10730, EUR, AUD,11271814.5
10731, USD, EUR,11272865
10732, EUR, AUD,11273915.5
10733, USD, EUR,11274966
10734, EUR, AUD,11276016.5
10735, USD, EUR,11277067
10736, EUR, AUD,11278117.5
10737, USD, EUR,11279168
10738, EUR, AUD,11280218.5
10739, USD, EUR,11281269
10740, EUR, AUD,11282319.5
10741, USD, EUR,11283370
10742, EUR, AUD,11284420.5
10743, USD, EUR,11285471
10744, EUR, AUD,11286521.5
10745, USD, EUR,11287572
10746, EUR, AUD,11288622.5
10747, USD, EUR,11289673
10748, EUR, AUD,11290723.5
10749, USD, EUR,11291774
10750, EUR, AUD,11292824.5
10751, USD, EUR,11293875
10752, EUR, AUD,11294925.5
10753, USD, EUR,11295976
10754, EUR, AUD,11297026.5
10755, USD, EUR,11298077
10756, EUR, AUD,11299127.5
10757, USD, EUR,11300178
10758, EUR, AUD,11301228.5
10759, USD, EUR,11302279
10760, EUR, AUD,11303329.5
10761, USD, EUR,11304380
10762, EUR, AUD,11305430.5
10763, USD, EUR,11306481
10764, EUR, AUD,11307531.5
10765, USD, EUR,11308582
10766, EUR, AUD,11309632.5
10767, USD, EUR,11310683
10768, EUR, AUD,11311733.5
10769, USD, EUR,11312784
10770, EUR, AUD,11313834.5
10771, USD, EUR,11314885
10772, EUR, AUD,11315935.5
10773, USD, EUR,11316986
10774, EUR, AUD,11318036.5
10775, USD, EUR,11319087
10776, EUR, AUD,11320137.5
10777, USD, EUR,11321188
10778, EUR, AUD,11322238.5
10779, USD, EUR,11323289
10780, EUR, AUD,11324339.5
10781, USD, EUR,11325390
10782, EUR, AUD,11326440.5
10783, USD, EUR,11327491
10784, EUR, AUD,11328541.5
10785, USD, EUR,11329592
10786, EUR, AUD,11330642.5
10787, USD, EUR,11331693
10788, EUR, AUD,11332743.5
10789, USD, EUR,11333794
10790, EUR, AUD,11334844.5
10791, USD, EUR,11335895
10792, EUR, AUD,11336945.5
10793, USD, EUR,11337996
10794, EUR, AUD,11339046.5
10795, USD, EUR,11340097
10796, EUR, AUD,11341147.5
10797, USD, EUR,11342198
10798, EUR, AUD,11343248.5
10799, USD, EUR,11344299
10800, EUR, AUD,11345349.5
10801, USD, EUR,11346400
10802, EUR, AUD,11347450.5
10803, USD, EUR,11348501
10804, EUR, AUD,11349551.5
10805, USD, EUR,11350602
10806, EUR, AUD,11351652.5
10807, USD, EUR,11352703
10808, EUR, AUD,11353753.5
10809, USD, EUR,11354804
10810, EUR, AUD,11355854.5
10811, USD, EUR,11356905
10812, EUR, AUD,11357955.5
10813, USD, EUR,11359006
10814, EUR, AUD,11360056.5
10815, USD, EUR,11361107
10816, EUR, AUD,11362157.5
10817, USD, EUR,11363208
10818, EUR, AUD,11364258.5
10819, USD, EUR,11365309
10820, EUR, AUD,11366359.5
10821, USD, EUR,11367410
10822, EUR, AUD,11368460.5
10823, USD, EUR,11369511
10824, EUR, AUD,11370561.5
10825, USD, EUR,11371612
10826, EUR, AUD,11372662.5
10827, USD, EUR,11373713
10828, EUR, AUD,11374763.5
10829, USD, EUR,11375814
10830, EUR, AUD,11376864.5
10831, USD, EUR,11377915
10832, EUR, AUD,11378965.5
10833, USD, EUR,11380016
10834, EUR, AUD,11381066.5
10835, USD, EUR,11382117
10836, EUR, AUD,11383167.5
10837, USD, EUR,11384218
10838, EUR, AUD,11385268.5
10839, USD, EUR,11386319
10840, EUR, AUD,11387369.5
10841, USD, EUR,11388420
10842, EUR, AUD,11389470.5
10843, USD, EUR,11390521
10844, EUR, AUD,11391571.5
10845, USD, EUR,11392622
10846, EUR, AUD,11393672.5
10847, USD, EUR,11394723
10848, EUR, AUD,11395773.5
10849, USD, EUR,11396824
10850, EUR, AUD,11397874.5
10851, USD, EUR,11398925
10852, EUR, AUD,11399975.5
10853, USD, EUR,11401026
10854, EUR, AUD,11402076.5
10855, USD, EUR,11403127
10856, EUR, AUD,11404177.5
10857, USD, EUR,11405228
10858, EUR, AUD,11406278.5
10859, USD, EUR,11407329
10860, EUR, AUD,11408379.5
10861, USD, EUR,11409430
10862, EUR, AUD,11410480.5
10863, USD, EUR,11411531
10864, EUR, AUD,11412581.5
10865, USD, EUR,11413632
10866, EUR, AUD,11414682.5
10867, USD, EUR,11415733
10868, EUR, AUD,11416783.5
10869, USD, EUR,11417834
10870, EUR, AUD,11418884.5
10871, USD, EUR,11419935
10872, EUR, AUD,11420985.5
10873, USD, EUR,11422036
10874, EUR, AUD,11423086.5
10875, USD, EUR,11424137
10876, EUR, AUD,11425187.5
10877, USD, EUR,11426238
10878, EUR, AUD,11427288.5
10879, USD, EUR,11428339
10880, EUR, AUD,11429389.5
10881, USD, EUR,11430440
10882, EUR, AUD,11431490.5
10883, USD, EUR,11432541
10884, EUR, AUD,11433591.5
10885, USD, EUR,11434642
10886, EUR, AUD,11435692.5
10887, USD, EUR,11436743
10888, EUR, AUD,11437793.5
10889, USD, EUR,11438844
10890, EUR, AUD,11439894.5
10891, USD, EUR,11440945
10892, EUR, AUD,11441995.5
10893, USD, EUR,11443046
10894, EUR, AUD,11444096.5
10895, USD, EUR,11445147
10896, EUR, AUD,11446197.5
10897, USD, EUR,11447248
10898, EUR, AUD,11448298.5
10899, USD, EUR,11449349
10900, EUR, AUD,11450399.5
10901, USD, EUR,11451450
10902, EUR, AUD,11452500.5
10903, USD, EUR,11453551
10904, EUR, AUD,11454601.5
10905, USD, EUR,11455652
10906, EUR, AUD,11456702.5
10907, USD, EUR,11457753
10908, EUR, AUD,11458803.5
10909, USD, EUR,11459854
10910, EUR, AUD,11460904.5
10911, USD, EUR,11461955
10912, EUR, AUD,11463005.5
10913, USD, EUR,11464056
10914, EUR, AUD,11465106.5
10915, USD, EUR,11466157
10916, EUR, AUD,11467207.5
10917, USD, EUR,11468258
10918, EUR, AUD,11469308.5
10919, USD, EUR,11470359
10920, EUR, AUD,11471409.5
10921, USD, EUR,11472460
10922, EUR, AUD,11473510.5
10923, USD, EUR,11474561
10924, EUR, AUD,11475611.5
10925, USD, EUR,11476662
10926, EUR, AUD,11477712.5
10927, USD, EUR,11478763
10928, EUR, AUD,11479813.5
10929, USD, EUR,11480864
10930, EUR, AUD,11481914.5
10931, USD, EUR,11482965
10932, EUR, AUD,11484015.5
10933, USD, EUR,11485066
10934, EUR, AUD,11486116.5
10935, USD, EUR,11487167
10936, EUR, AUD,11488217.5
10937, USD, EUR,11489268
10938, EUR, AUD,11490318.5
10939, USD, EUR,11491369
10940, EUR, AUD,11492419.5
10941, USD, EUR,11493470
10942, EUR, AUD,11494520.5
10943, USD, EUR,11495571
10944, EUR, AUD,11496621.5
10945, USD, EUR,11497672
10946, EUR, AUD,11498722.5
10947, USD, EUR,11499773
10948, EUR, AUD,11500823.5
10949, USD, EUR,11501874
10950, EUR, AUD,11502924.5
10951, USD, EUR,11503975
10952, EUR, AUD,11505025.5
10953, USD, EUR,11506076
10954, EUR, AUD,11507126.5
10955, USD, EUR,11508177
10956, EUR, AUD,11509227.5
10957, USD, EUR,11510278
10958, EUR, AUD,11511328.5
10959, USD, EUR,11512379
10960, EUR, AUD,11513429.5
10961, USD, EUR,11514480
10962, EUR, AUD,11515530.5
10963, USD, EUR,11516581
10964, EUR, AUD,11517631.5
10965, USD, EUR,11518682
10966, EUR, AUD,11519732.5
10967, USD, EUR,11520783
10968, EUR, AUD,11521833.5
10969, USD, EUR,11522884
10970, EUR, AUD,11523934.5
10971, USD, EUR,11524985
10972, EUR, AUD,11526035.5
10973, USD, EUR,11527086
10974, EUR, AUD,11528136.5
10975, USD, EUR,11529187
10976, EUR, AUD,11530237.5
10977, USD, EUR,11531288
10978, EUR, AUD,11532338.5
10979, USD, EUR,11533389
10980, EUR, AUD,11534439.5
10981, USD, EUR,11535490
10982, EUR, AUD,11536540.5
10983, USD, EUR,11537591
10984, EUR, AUD,11538641.5
10985, USD, EUR,11539692
10986, EUR, AUD,11540742.5
10987, USD, EUR,11541793
10988, EUR, AUD,11542843.5
10989, USD, EUR,11543894
10990, EUR, AUD,11544944.5
10991, USD, EUR,11545995
10992, EUR, AUD,11547045.5
10993, USD, EUR,11548096
10994, EUR, AUD,11549146.5
10995, USD, EUR,11550197
10996, EUR, AUD,11551247.5
10997, USD, EUR,11552298
10998, EUR, AUD,11553348.5
10999, USD, EUR,11554399
11000, EUR, AUD,11555449.5
11001, USD, EUR,11556500
11002, EUR, AUD,11557550.5
11003, USD, EUR,11558601
11004, EUR, AUD,11559651.5
11005, USD, EUR,11560702
11006, EUR, AUD,11561752.5
11007, USD, EUR,11562803
11008, EUR, AUD,11563853.5
11009, USD, EUR,11564904
11010, EUR, AUD,11565954.5
11011, USD, EUR,11567005
11012, EUR, AUD,11568055.5
11013, USD, EUR,11569106
11014, EUR, AUD,11570156.5
11015, USD, EUR,11571207
11016, EUR, AUD,11572257.5
11017, USD, EUR,11573308
11018, EUR, AUD,11574358.5
11019, USD, EUR,11575409
11020, EUR, AUD,11576459.5
11021, USD, EUR,11577510
11022, EUR, AUD,11578560.5
11023, USD, EUR,11579611
11024, EUR, AUD,11580661.5
11025, USD, EUR,11581712
11026, EUR, AUD,11582762.5
11027, USD, EUR,11583813
11028, EUR, AUD,11584863.5
11029, USD, EUR,11585914
11030, EUR, AUD,11586964.5
11031, USD, EUR,11588015
11032, EUR, AUD,11589065.5
11033, USD, EUR,11590116
11034, EUR, AUD,11591166.5
11035, USD, EUR,11592217
11036, EUR, AUD,11593267.5
11037, USD, EUR,11594318
11038, EUR, AUD,11595368.5
11039, USD, EUR,11596419
11040, EUR, AUD,11597469.5
11041, USD, EUR,11598520
11042, EUR, AUD,11599570.5
11043, USD, EUR,11600621
11044, EUR, AUD,11601671.5
11045, USD, EUR,11602722
11046, EUR, AUD,11603772.5
11047, USD, EUR,11604823
11048, EUR, AUD,11605873.5
11049, USD, EUR,11606924
11050, EUR, AUD,11607974.5
11051, USD, EUR,11609025
11052, EUR, AUD,11610075.5
11053, USD, EUR,11611126
11054, EUR, AUD,11612176.5
11055, USD, EUR,11613227
11056, EUR, AUD,11614277.5
11057, USD, EUR,11615328
11058, EUR, AUD,11616378.5
11059, USD, EUR,11617429
11060, EUR, AUD,11618479.5
11061, USD, EUR,11619530
11062, EUR, AUD,11620580.5
11063, USD, EUR,11621631
11064, EUR, AUD,11622681.5
11065, USD, EUR,11623732
11066, EUR, AUD,11624782.5
11067, USD, EUR,11625833
11068, EUR, AUD,11626883.5
11069, USD, EUR,11627934
11070, EUR, AUD,11628984.5
11071, USD, EUR,11630035
11072, EUR, AUD,11631085.5
11073, USD, EUR,11632136
11074, EUR, AUD,11633186.5
11075, USD, EUR,11634237
11076, EUR, AUD,11635287.5
11077, USD, EUR,11636338
11078, EUR, AUD,11637388.5
11079, USD, EUR,11638439
11080, EUR, AUD,11639489.5
11081, USD, EUR,11640540
11082, EUR, AUD,11641590.5
11083, USD, EUR,11642641
11084, EUR, AUD,11643691.5
11085, USD, EUR,11644742
11086, EUR, AUD,11645792.5
11087, USD, EUR,11646843
11088, EUR, AUD,11647893.5
11089, USD, EUR,11648944
11090, EUR, AUD,11649994.5
11091, USD, EUR,11651045
11092, EUR, AUD,11652095.5
11093, USD, EUR,11653146
11094, EUR, AUD,11654196.5
11095, USD, EUR,11655247
11096, EUR, AUD,11656297.5
11097, USD, EUR,11657348
11098, EUR, AUD,11658398.5
11099, USD, EUR,11659449
11100, EUR, AUD,11660499.5
11101, USD, EUR,11661550
11102, EUR, AUD,11662600.5
11103, USD, EUR,11663651
11104, EUR, AUD,11664701.5
11105, USD, EUR,11665752
11106, EUR, AUD,11666802.5
11107, USD, EUR,11667853
11108, EUR, AUD,11668903.5
11109, USD, EUR,11669954
11110, EUR, AUD,11671004.5
11111, USD, EUR,11672055
11112, EUR, AUD,11673105.5
11113, USD, EUR,11674156
11114, EUR, AUD,11675206.5
11115, USD, EUR,11676257
11116, EUR, AUD,11677307.5
11117, USD, EUR,11678358
11118, EUR, AUD,11679408.5
11119, USD, EUR,11680459
11120, EUR, AUD,11681509.5
11121, USD, EUR,11682560
11122, EUR, AUD,11683610.5
11123, USD, EUR,11684661
11124, EUR, AUD,11685711.5
11125, USD, EUR,11686762
11126, EUR, AUD,11687812.5
11127, USD, EUR,11688863
11128, EUR, AUD,11689913.5
11129, USD, EUR,11690964
11130, EUR, AUD,11692014.5
11131, USD, EUR,11693065
11132, EUR, AUD,11694115.5
11133, USD, EUR,11695166
11134, EUR, AUD,11696216.5
11135, USD, EUR,11697267
11136, EUR, AUD,11698317.5
11137, USD, EUR,11699368
11138, EUR, AUD,11700418.5
11139, USD, EUR,11701469
11140, EUR, AUD,11702519.5
11141, USD, EUR,11703570
11142, EUR, AUD,11704620.5
11143, USD, EUR,11705671
11144, EUR, AUD,11706721.5
11145, USD, EUR,11707772
11146, EUR, AUD,11708822.5
11147, USD, EUR,11709873
11148, EUR, AUD,11710923.5
11149, USD, EUR,11711974
11150, EUR, AUD,11713024.5
11151, USD, EUR,11714075
11152, EUR, AUD,11715125.5
11153, USD, EUR,11716176
11154, EUR, AUD,11717226.5
11155, USD, EUR,11718277
11156, EUR, AUD,11719327.5
11157, USD, EUR,11720378
11158, EUR, AUD,11721428.5
11159, USD, EUR,11722479
11160, EUR, AUD,11723529.5
11161, USD, EUR,11724580
11162, EUR, AUD,11725630.5
11163, USD, EUR,11726681
11164, EUR, AUD,11727731.5
11165, USD, EUR,11728782
11166, EUR, AUD,11729832.5
11167, USD, EUR,11730883
11168, EUR, AUD,11731933.5
11169, USD, EUR,11732984
11170, EUR, AUD,11734034.5
11171, USD, EUR,11735085
11172, EUR, AUD,11736135.5
11173, USD, EUR,11737186
